images,captions
Crested_Auklet_0001_794941.jpg,this bird is black all over its body with orange in its beak.
Crested_Auklet_0029_1824.jpg,the bill of the bird is bright orange and the bird has white eye rings as well as black body feathers.
Crested_Auklet_0074_794949.jpg,"this bird has smooth, dary gray feathers and a bright orange beak with a funny feather on top on his head."
Crested_Auklet_0045_794940.jpg,"this bird's head and body are all gray, but there is a small white mark below the light colored eye, the beak is bright orange and short and stubby, there is a large narrow crest feather near the base if the beak."
Crested_Auklet_0077_785257.jpg,"a large black bird has a gray colored breast, a dark black crown, and a short and bright yellow bill."
Crested_Auklet_0018_1817.jpg,"this bird has an orange bill, with solid brown feathers covering the rest of its body except for the small cheek patch which is cream and speckled with light brown."
Crested_Auklet_0041_794910.jpg,gray and black feathered bird with feathers hanging under the eyes.
Crested_Auklet_0066_785251.jpg,"this unusual bird has a plume above its orange bill, white stripe below its eye, and gray feathers covering its body."
Crested_Auklet_0047_794918.jpg,the bird has a tiny eye ring that is white and black as well as a puffy breast.
Crested_Auklet_0044_1825.jpg,medium sized gray bird with medium orange beak and medium white eye
Crested_Auklet_0073_785248.jpg,"black bird with white eye, short tail feathers, and short orange beak."
Crested_Auklet_0013_794914.jpg,"this bird is mostly gray, with a short orange bill and white superciliary."
Crested_Auklet_0039_794944.jpg,small black bird with a small curved orange beak and a tuff of black hair on its head.
Crested_Auklet_0021_794938.jpg,this bird is all black with an orange beak and white eyes.
Crested_Auklet_0028_794951.jpg,the mainly gray bird has a white eye with a white cheek patch an orange flat broad beak and a tuft of feathers coming out of its crown.
Crested_Auklet_0067_785249.jpg,"a tall erect bird, mostly black, with webbed feet and a long beak."
Crested_Auklet_0076_785252.jpg,"this intense looking bird is medium in size, has an all black coat, chrome white eyes and a bright orange beak."
Crested_Auklet_0059_794929.jpg,"this bird is black and white in color, with a bright orange beak and a white eye ring."
Crested_Auklet_0012_794960.jpg,"the bird is dark gray in color, has a stubby bill with some type of feather growths coming out of the top of it."
Crested_Auklet_0003_794962.jpg,this bird is mostly gray with a bright orange bill.
Crested_Auklet_0030_794937.jpg,this bird is black with a long narrow white cheek patch and white eyes.
Crested_Auklet_0057_794932.jpg,"this bird has a black body, gray belly, a short pointed orange beak with a black tuft above it, and a long neck that separates a small head and an oblong body."
Crested_Auklet_0053_794966.jpg,medium sized bird that is shades of black and gray with an orange bill and stand up feathers on its head.
Crested_Auklet_0063_794901.jpg,"bird has gray body feathers, gray breast feather, and orange beak"
Crested_Auklet_0006_1813.jpg,"a large bird with a white eye and orange bill, with a gray breast and gray belly."
Crested_Auklet_0040_794912.jpg,this black bird has a very bright orange malar stripe and a small hooked beak.
Crested_Auklet_0010_794907.jpg,"a black bird with wide black feet, a white eye, and bright orange bill."
Crested_Auklet_0036_794905.jpg,this short orange billed bird has a bright blue eye and blue feet.
Crested_Auklet_0062_794968.jpg,this is a black bird with a white eye and a large orange beak.
Crested_Auklet_0075_785259.jpg,this plump bird has a dark gray back with a belly that is a lighter shade of gray.
Crested_Auklet_0069_785258.jpg,this bird is almost all light gray with a white superciliary and an orange beak.
Crested_Auklet_0070_785261.jpg,"this is a gray bird with black wings, a white eye and an orange beak."
Crested_Auklet_0011_794927.jpg,"a large and tall bird that is gray and black in color, and an orange mouth."
Crested_Auklet_0033_794964.jpg,medium sized gray bird with black feathers on the back and an orange beak.
Crested_Auklet_0068_785253.jpg,the bird has a red bill that is somewhat small and not curved.
Crested_Auklet_0071_785255.jpg,"a bird with a bright red bill with a tan tip, and a black head and breast."
Crested_Auklet_0005_794922.jpg,"this mostly black bird has a bright orange bill, white eyes, a white stripe leading from his eyes down his head and a feathery lifted crown."
Crested_Auklet_0048_1791.jpg,"this bird has gray and white speckled feathers on its breast, a white malar stripe and bright orange bill."
Crested_Auklet_0061_794904.jpg,the bird has a white eye ring and webbed black feet.
